[0.000000] (-) TimerEvent: {}
[0.000722] (-) JobUnselected: {'identifier': 'Eigen3'}
[0.000778] (-) JobUnselected: {'identifier': 'bes_transmit'}
[0.000792] (-) JobUnselected: {'identifier': 'black_box'}
[0.000804] (-) JobUnselected: {'identifier': 'cpp_httplib'}
[0.000814] (-) JobUnselected: {'identifier': 'cyberdog_bringup'}
[0.000824] (-) JobUnselected: {'identifier': 'cyberdog_color_detector_py'}
[0.000833] (-) JobUnselected: {'identifier': 'cyberdog_common'}
[0.000841] (-) JobUnselected: {'identifier': 'cyberdog_debug'}
[0.000850] (-) JobUnselected: {'identifier': 'cyberdog_description'}
[0.000859] (-) JobUnselected: {'identifier': 'cyberdog_embed_protocol'}
[0.000868] (-) JobUnselected: {'identifier': 'cyberdog_example'}
[0.000877] (-) JobUnselected: {'identifier': 'cyberdog_grpc'}
[0.000886] (-) JobUnselected: {'identifier': 'cyberdog_locomotion'}
[0.000894] (-) JobUnselected: {'identifier': 'cyberdog_machine'}
[0.000903] (-) JobUnselected: {'identifier': 'cyberdog_manager'}
[0.000912] (-) JobUnselected: {'identifier': 'cyberdog_msg'}
[0.000920] (-) JobUnselected: {'identifier': 'cyberdog_parameter'}
[0.000929] (-) JobUnselected: {'identifier': 'cyberdog_permission'}
[0.000938] (-) JobUnselected: {'identifier': 'cyberdog_simulator'}
[0.000950] (-) JobUnselected: {'identifier': 'cyberdog_system'}
[0.000960] (-) JobUnselected: {'identifier': 'cyberdog_visual'}
[0.000969] (-) JobUnselected: {'identifier': 'elec_skin'}
[0.000977] (-) JobUnselected: {'identifier': 'filesystem'}
[0.000986] (-) JobUnselected: {'identifier': 'lcm'}
[0.000995] (-) JobUnselected: {'identifier': 'low_power_consumption'}
[0.001003] (-) JobUnselected: {'identifier': 'manager_base'}
[0.001012] (-) JobUnselected: {'identifier': 'motion_action'}
[0.001021] (-) JobUnselected: {'identifier': 'motion_bridge'}
[0.001029] (-) JobUnselected: {'identifier': 'motion_manager'}
[0.001038] (-) JobUnselected: {'identifier': 'motion_utils'}
[0.001047] (-) JobUnselected: {'identifier': 'mqttc'}
[0.001056] (-) JobUnselected: {'identifier': 'nvinference'}
[0.001064] (-) JobUnselected: {'identifier': 'params'}
[0.001073] (-) JobUnselected: {'identifier': 'protocol'}
[0.001082] (-) JobUnselected: {'identifier': 'rapidjson'}
[0.001091] (-) JobUnselected: {'identifier': 'skin_manager'}
[0.001099] (-) JobUnselected: {'identifier': 'toml'}
[0.001108] (-) JobUnselected: {'identifier': 'user_info_manager'}
[0.001117] (-) JobUnselected: {'identifier': 'xpack'}
[0.001126] (-) JobUnselected: {'identifier': 'zxing'}
[0.001136] (cyberdog_gazebo) JobQueued: {'identifier': 'cyberdog_gazebo', 'dependencies': OrderedDict([('cyberdog_msg', '/home/install')])}
[0.001150] (cyberdog_gazebo) JobStarted: {'identifier': 'cyberdog_gazebo'}
[0.016306] (cyberdog_gazebo) JobEnded: {'identifier': 'cyberdog_gazebo', 'rc': 1}
[0.026821] (-) EventReactorShutdown: {}
